date,account,category,amount,currency,converted amount,currency,description
26/04/2021,Cash,Health,-458,INR,-458,INR,Medicine
26/04/2021,Cash,Food,-255,INR,-255,INR,Fruits
27/04/2021,Cash,Bills,-50,INR,-50,INR,Netflix
27/04/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
27/04/2021,Cash,Gifts,-100,INR,-100,INR,Oxygen donation
02/05/2021,Cash,Investment,-300,INR,-300,INR,Crypto investment
06/05/2021,Cash,Salary,"13,500",INR,"13,500",INR,Stipend
07/05/2021,Cash,Deposits,162,INR,162,INR,Cardano
10/05/2021,Cash,Communications,-11,INR,-11,INR,Jio 1gb boost
11/05/2021,Cash,Investment,"-20,100",INR,"-20,100",INR,Crypto investmen
13/05/2021,Cash,Bills,-285,INR,-285,INR,Waterbill
17/05/2021,Cash,Investment,"-6,000",INR,"-6,000",INR,Crypto investment
21/05/2021,Cash,Food,"-2,177",INR,"-2,177",INR,Milk
21/05/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
21/05/2021,Cash,Food,"-1,879",INR,"-1,879",INR,Fruits and vegetables
21/05/2021,Cash,Bills,"-1,311",INR,"-1,311",INR,Current bill
21/05/2021,Cash,Communications,-905,INR,-905,INR,Bsnl wifi
21/05/2021,Cash,Communications,-299,INR,-299,INR,Vodaphone
21/05/2021,Cash,Food,-669,INR,-669,INR,Fruits vegetables
21/05/2021,Cash,Investment,-600,INR,-600,INR,Insta feature post
22/05/2021,Cash,Gifts,"-2,000",INR,"-2,000",INR,Help nagraj
22/05/2021,Cash,Gift,"5,000",INR,"5,000",INR,Divyakka gift
24/05/2021,Cash,Food,-812,INR,-812,INR,Gas
24/05/2021,Cash,Gifts,"-3,000",INR,"-3,000",INR,Help nagraj
28/05/2021,Cash,Bills,-66,INR,-66,INR,Netflix
30/05/2021,Cash,Food,"-1,553",INR,"-1,553",INR,Fruits and vegetables
01/06/2021,Cash,Cashback,"5,000",INR,"5,000",INR,Money nagraj gave back which u gave last month
01/06/2021,Cash,Salary,"13,500",INR,"13,500",INR,Stipend
02/06/2021,Cash,Cashback,324,INR,324,INR,Sb interest
02/06/2021,Cash,Investment,"-2,308",INR,"-2,308",INR,Stocks investment
02/06/2021,Cash,Investment,-258,INR,-258,INR,Crypto investment
04/06/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
04/06/2021,Cash,Food,"-1,767",INR,"-1,767",INR,Milk
04/06/2021,Cash,Bills,-175,INR,-175,INR,Waterbill
04/06/2021,Cash,Food,-474,INR,-474,INR,Grocery
04/06/2021,Cash,Bills,-990,INR,-990,INR,Current bill
04/06/2021,Cash,Food,-570,INR,-570,INR,Fruits and vegetables
04/06/2021,Cash,Bills,-155,INR,-155,INR,Cable
04/06/2021,Cash,Communications,-905,INR,-905,INR,Bsnl wifi
04/06/2021,Cash,Communications,-300,INR,-300,INR,Mobile
07/06/2021,Cash,Clothes,-380,INR,-380,INR,Chappal
07/06/2021,Cash,Health,-150,INR,-150,INR,Eye test fee
07/06/2021,Cash,Cashback,5,INR,5,INR,Cashback
08/06/2021,Cash,Deposits,500,INR,500,INR,Crypto investment
09/06/2021,Cash,Car,"-1,211",INR,"-1,211",INR,Bike insurance
12/06/2021,Cash,Communications,-21,INR,-21,INR,Data voucher
14/06/2021,Cash,Gift,115,INR,115,INR,Ganahoma dhana
21/06/2021,Cash,Gifts,-600,INR,-600,INR,Pdc
24/06/2021,Cash,Gifts,-97,INR,-97,INR,Project report printout 
25/06/2021,Cash,Gifts,-225,INR,-225,INR,Cock
27/06/2021,Cash,Bills,-66,INR,-66,INR,Netflix
28/06/2021,Cash,Gifts,-30,INR,-30,INR,Doddappas phone recharge
29/06/2021,Cash,Gifts,-97.5,INR,-97.5,INR,Printout college
03/07/2021,Cash,Gifts,-240,INR,-240,INR,Temple donation 
03/07/2021,Cash,Salary,"13,500",INR,"13,500",INR,Stipend
04/07/2021,Cash,Wants,"-3,799",INR,"-3,799",INR,Hard disk
04/07/2021,Cash,Food,-399,INR,-399,INR,Ice cream mold
04/07/2021,Cash,Gift,500,INR,500,INR,Doddappas gift
04/07/2021,Cash,Investment,"-2,308",INR,"-2,308",INR,Stocks investment
05/07/2021,Cash,Food,-335.94,INR,-335.94,INR,Groceries and printout 
05/07/2021,Cash,Car,-200,INR,-200,INR,Petrol
05/07/2021,Cash,Gifts,-20,INR,-20,INR,Printout
05/07/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
06/07/2021,Cash,Bills,-905,INR,-905,INR,Bsnl wifi
07/07/2021,Cash,Food,-168,INR,-168,INR,Food
07/07/2021,Cash,Dad's expenses,-11,INR,-11,INR,Xerox
07/07/2021,Cash,Dad's expenses,-250,INR,-250,INR,Dtdc
07/07/2021,Cash,Wants,-310,INR,-310,INR,Usb hub
09/07/2021,Cash,Car,-100,INR,-100,INR,Petrol
10/07/2021,Cash,Food,-50,INR,-50,INR,Mango
12/07/2021,Cash,Food,-196,INR,-196,INR,Ramen veggies
13/07/2021,Cash,Car,-150,INR,-150,INR,Petrol
13/07/2021,Cash,Food,-203,INR,-203,INR,Ramen veggies
13/07/2021,Cash,Food,-751,INR,-751,INR,Grocery
13/07/2021,Cash,Communications,-180,INR,-180,INR,Passport Photo 
13/07/2021,Cash,Health,-40,INR,-40,INR,Calamel lotion
15/07/2021,Cash,Unexpected,-118,INR,-118,INR,Debit card loosing charge 
17/07/2021,Cash,Car,-100,INR,-100,INR,Petrol
17/07/2021,Cash,Food,-46,INR,-46,INR,Vegetables
17/07/2021,Cash,Bills,-124,INR,-124,INR,Netflix
19/07/2021,Cash,Clothes,-339,INR,-339,INR,Uw
19/07/2021,Cash,Clothes,-399,INR,-399,INR,Uw
19/07/2021,Cash,Food,-590,INR,-590,INR,Udupi store
19/07/2021,Cash,Car,-5,INR,-5,INR,Cycle blow
20/07/2021,Cash,Food,-130,INR,-130,INR,Fruits
20/07/2021,Cash,Dad's expenses,-170,INR,-170,INR,Misc
20/07/2021,Cash,Health,"-1,400",INR,"-1,400",INR,Specs
20/07/2021,Cash,Unexpected,-100,INR,-100,INR,Jewelry repair
20/07/2021,Cash,Food,-195,INR,-195,INR,Veggies dad
20/07/2021,Cash,Transport,-190,INR,-190,INR,Dad auto
21/07/2021,Cash,Gifts,-360,INR,-360,INR,Devaragundi
22/07/2021,Cash,Investment,"-11,760",INR,"-11,760",INR,January to July lic
23/07/2021,Cash,Bills,-294.72,INR,-294.72,INR,Vodaphone
23/07/2021,Cash,Food,"-1,121",INR,"-1,121",INR,Milk
27/07/2021,Cash,Wants,"-2,999",INR,"-2,999",INR,Microphone
27/07/2021,Cash,Wants,-899,INR,-899,INR,Earbuds
27/07/2021,Cash,Car,-100,INR,-100,INR,Petrol
27/07/2021,Cash,Gifts,"-2,000",INR,"-2,000",INR,Shradha expens
28/07/2021,Cash,Bills,-1,INR,-1,INR,Jio recharge 
29/07/2021,Cash,Gifts,-130,INR,-130,INR,Balrkayi
31/07/2021,Cash,Communications,-50,INR,-50,INR,Bsnl recharge
02/08/2021,Cash,Transport,-45,INR,-45,INR,Travel kasargod
02/08/2021,Cash,Health,-200,INR,-200,INR,Masks
02/08/2021,Cash,Gifts,"-1,640",INR,"-1,640",INR,Groceries
02/08/2021,Cash,Gifts,-450,INR,-450,INR,Vegetables for fucntion
02/08/2021,Cash,Gifts,-150,INR,-150,INR,Flowers for function
02/08/2021,Cash,Taxi,-200,INR,-200,INR,Auto
04/08/2021,Cash,Gifts,"-6,565",INR,"-6,565",INR,Pooja expense
05/08/2021,Cash,Native trip,"-4,000",INR,"-4,000",INR,Car cost
05/08/2021,Cash,Bills,-905,INR,-905,INR,Bsnl bill
05/08/2021,Cash,Health,-800,INR,-800,INR,Glasses
05/08/2021,Cash,Gifts,-200,INR,-200,INR,Dakshine
06/08/2021,Cash,Unexpected,"-1,029",INR,"-1,029",INR,Medical checkup
06/08/2021,Cash,Transport,-582,INR,-582,INR,Vorkady to puttur
07/08/2021,Cash,Native trip,"-1,776",INR,"-1,776",INR,Return bus ticket for 3ppl
08/08/2021,Cash,Bills,-10,INR,-10,INR,Bsnl recharge
08/08/2021,Cash,Taxi,-83,INR,-83,INR,Uber
08/08/2021,Cash,Gift,"15,000",INR,"15,000",INR,Adakke
08/08/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
09/08/2021,Cash,Food,-837,INR,-837,INR,Gas
09/08/2021,Cash,Food,-90,INR,-90,INR,Fruits and vegetables
09/08/2021,Cash,Communications,-258,INR,-258,INR,Vodaphone bill
09/08/2021,Cash,Car,-150,INR,-150,INR,Petrol
11/08/2021,Cash,Unexpected,-100,INR,-100,INR,Printout
11/08/2021,Cash,Food,-200,INR,-200,INR,Biscuits
12/08/2021,Cash,Food,"-1,786",INR,"-1,786",INR,Milk
14/08/2021,Cash,Car,-50,INR,-50,INR,Petrol
14/08/2021,Cash,Bills,-723,INR,-723,INR,Electricity
14/08/2021,Cash,Food,-455,INR,-455,INR,Groceries
15/08/2021,Cash,Food,-65,INR,-65,INR,Panipuri papad
15/08/2021,Cash,Food,-44,INR,-44,INR,Fruits
16/08/2021,Cash,Car,-200,INR,-200,INR,Petrol
16/08/2021,Cash,Health,-36,INR,-36,INR,Gelysil
16/08/2021,Cash,Unexpected,-4,INR,-4,INR,Printout
17/08/2021,Cash,Bills,-203,INR,-203,INR,Waterbill
21/08/2021,Cash,Bills,-162,INR,-162,INR,Netflix
21/08/2021,Cash,Gifts,"-1,349",INR,"-1,349",INR,Gift for wedding.
22/08/2021,Cash,Gifts,"-1,000",INR,"-1,000",INR,Rakshabandhan voucher
22/08/2021,Cash,Investment,-20,INR,-20,INR,Advertising
22/08/2021,Cash,Food,-134,INR,-134,INR,Vegetables
23/08/2021,Cash,Food,-50,INR,-50,INR,Vegetables 
23/08/2021,Cash,Health,"-1,680",INR,"-1,680",INR,LIC
24/08/2021,Cash,Toiletry,-90,INR,-90,INR,Brush
25/08/2021,Cash,Food,-20,INR,-20,INR,Mixture
25/08/2021,Cash,Taxi,-80,INR,-80,INR,Auto
25/08/2021,Cash,Gifts,-30,INR,-30,INR,Hundi
26/08/2021,Cash,Taxi,-65,INR,-65,INR,Auto
27/08/2021,Cash,Taxi,-30,INR,-30,INR,Auto
28/08/2021,Cash,Car,-150,INR,-150,INR,Petrol
29/08/2021,Cash,Food,-707,INR,-707,INR,Groccery
30/08/2021,Cash,Food,-193,INR,-193,INR,Fruits
31/08/2021,Cash,Salary,"21,599",INR,"21,599",INR,Salary
31/08/2021,Cash,Food,-40,INR,-40,INR,Vegetables
31/08/2021,Cash,Food,-20.4,INR,-20.4,INR,Onions
31/08/2021,Cash,Food,-944,INR,-944,INR,Groceries
31/08/2021,Cash,Clothes,-345,INR,-345,INR,Bairasa
31/08/2021,Cash,Investment,"-1,680",INR,"-1,680",INR,Lic
02/09/2021,Cash,Gifts,"-1,000",INR,"-1,000",INR,Kavi temple vorkady donation
03/09/2021,Cash,Native trip,-700,INR,-700,INR,Ksrtc for dad
03/09/2021,Cash,Native trip,-600,INR,-600,INR,Auto
03/09/2021,Cash,Food,-60,INR,-60,INR,Vegetables
04/09/2021,Cash,Car,-200,INR,-200,INR,Petrol
04/09/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
04/09/2021,Cash,Communications,-78,INR,-78,INR,Prepaid
05/09/2021,Cash,Wants,"-3,200",INR,"-3,200",INR,Tv stand and tv
05/09/2021,Cash,Eating out,-65,INR,-65,INR,Manchurian
05/09/2021,Cash,Car,-10,INR,-10,INR,Parking 
05/09/2021,Cash,Wants,-350,INR,-350,INR,Cable hdmi
05/09/2021,Cash,Gifts,-270,INR,-270,INR,Temple pooja
05/09/2021,Cash,Bills,-917,INR,-917,INR,Bsnl bill
08/09/2021,Cash,Food,-85,INR,-85,INR,Vegetables and rangoli
08/09/2021,Cash,Food,"-1,786",INR,"-1,786",INR,Milk
08/09/2021,Cash,Bills,-258,INR,-258,INR,Water bill
08/09/2021,Cash,Food,-300,INR,-300,INR,Groceries
09/09/2021,Cash,Gifts,-200,INR,-200,INR,Pooje 
10/09/2021,Cash,Wants,-149,INR,-149,INR,Wall mount
10/09/2021,Cash,Native trip,-756,INR,-756,INR,Train cost up qnd down
11/09/2021,Cash,Dad's expenses,-845,INR,-845,INR,Dad's vorkady expenses
11/09/2021,Cash,Wants,"-1,900",INR,"-1,900",INR,Mac port
11/09/2021,Cash,Gifts,-250,INR,-250,INR,Seve
13/09/2021,Cash,Car,-155,INR,-155,INR,Petrol
14/09/2021,Cash,Gifts,"-1,200",INR,"-1,200",INR,6 month karthika pooje
15/09/2021,Cash,Food,-887.5,INR,-887.5,INR,Gas
15/09/2021,Cash,Investment,-500,INR,-500,INR,Moms Investment
18/09/2021,Cash,Native trip,-29,INR,-29,INR,Metro
18/09/2021,Cash,Dad's expenses,-149,INR,-149,INR,Dad's bus
20/09/2021,Cash,Gifts,-150,INR,-150,INR,Mahalingeshwar prasad
21/09/2021,Cash,Food,-72,INR,-72,INR,Groceries
21/09/2021,Cash,Bills,-162,INR,-162,INR,Netflix
22/09/2021,Cash,Food,-142,INR,-142,INR,Groceries
22/09/2021,Cash,Bills,-150,INR,-150,INR,Cable
23/09/2021,Cash,Dad's expenses,-180,INR,-180,INR,Dad's traveling 
23/09/2021,Cash,Food,-10,INR,-10,INR,Badqm powder
23/09/2021,Cash,Food,-19,INR,-19,INR,Milk
24/09/2021,Cash,Food,-20,INR,-20,INR,Veg
24/09/2021,Cash,Food,-22,INR,-22,INR,Curd
25/09/2021,Cash,Food,-347,INR,-347,INR,Groceries fruits
27/09/2021,Cash,Gifts,-214,INR,-214,INR,Temple seve puttur
27/09/2021,Cash,Food,-63,INR,-63,INR,Groceries
28/09/2021,Cash,Food,-39,INR,-39,INR,Milk and bread
29/09/2021,Cash,Car,-155,INR,-155,INR,Petrol tyre
29/09/2021,Cash,Food,-35,INR,-35,INR,"Bread,mixture"
30/09/2021,Cash,Transport,-330,INR,-330,INR,Dad's traveling 
30/09/2021,Cash,Salary,"33,537",INR,"33,537",INR,Salary
30/09/2021,Cash,Investment,"-1,680",INR,"-1,680",INR,Lic
01/10/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
01/10/2021,Cash,Food,-75,INR,-75,INR,"Badminton milk ,butter milk"
01/10/2021,Cash,Native trip,-167,INR,-167,INR,Train cost
01/10/2021,Cash,Food,-60,INR,-60,INR,Roti curry
02/10/2021,Cash,Taxi,-80,INR,-80,INR,Auto
02/10/2021,Cash,Food,-10,INR,-10,INR,Coffee
02/10/2021,Cash,Food,-30,INR,-30,INR,Biscuits
02/10/2021,Cash,Food,-30,INR,-30,INR,Maddur vada
02/10/2021,Cash,Food,-50,INR,-50,INR,Idli
02/10/2021,Cash,Transport,-232,INR,-232,INR,Traveling dads
04/10/2021,Cash,Native trip,-448,INR,-448,INR,Train
05/10/2021,Cash,Bills,-917,INR,-917,INR,Bsnl bill
